key,motivo,entry_type,title_verified,authors_verified,year_verified,doi_verified,venue_verified,booktitle,series,volume,number,pages,publisher,address,id,id_type,url,fuente_normativa,clave_original,url_actas
fischer2023rejectcurves,La version publicada omite 'for Classification'; el sufijo solo existe en el preprint,inproceedings,Precision and Recall Reject Curves,Lydia Fischer; Patricia Wollstadt,2024,10.1007/978-3-031-67159-3_19,,"Advances in Self-Organizing Maps, Learning Vector Quantization, Interpretable Machine Learning, and Beyond (WSOM+ 2024)",Lecture Notes in Networks and Systems,1087,,163--173,Springer,Cham,,,,,,
garnot2021pastis,Introduce PASTIS optico; NO introduce PASTIS-R. Paginas segun el DOI de IEEE,inproceedings,Panoptic Segmentation of Satellite Image Time Series with Convolutional Temporal Attention Networks,"{Sainte Fare Garnot}, Vivien; Landrieu, Loic",2021,10.1109/ICCV48922.2021.00483,,2021 IEEE/CVF International Conference on Computer Vision (ICCV),,,,4852--4861,IEEE,,,,,,,
geifman2017selective,"NeurIPS no asigna DOI; con booktitle el estilo ya imprime venue IDENTIFICADOR ANADIDO tras verificar en las actas de NeurIPS. Sin DOI, como todas las actas de NIPS 2017: la URL canonica de proceedings.neurips.cc es lo que hace localizable la entrada.",inproceedings,Selective Classification for Deep Neural Networks,Yonatan Geifman; Ran El-Yaniv,2017,,,Advances in Neural Information Processing Systems 30 (NIPS 2017),,,,4878--4887,Curran Associates,,,,https://proceedings.neurips.cc/paper/2017/hash/4a8423d5e91fda00bb7e46540e2b0cf1-Abstract.html,,,
geifman2019selectivenet,"ICML/PMLR sin DOI IDENTIFICADOR ANADIDO tras verificar en PMLR v97: titulo, autores, paginas 2151-2159 y URL canonica.",inproceedings,{SelectiveNet}: A Deep Neural Network with an Integrated Reject Option,Yonatan Geifman; Ran El-Yaniv,2019,,,Proceedings of the 36th International Conference on Machine Learning (ICML),Proceedings of Machine Learning Research,97,,2151--2159,PMLR,,,,https://proceedings.mlr.press/v97/geifman19a.html,,,
hasan2023uncertaintysurvey,"Publicado en ACM Computing Surveys 2025, ya no es preprint AUTORES RETIRADOS DE LA CORRECCION: cortaba la lista con 'others' y la matriz verificada trae la completa. Una correccion que empeora su fuente no es una correccion.",article,Survey on Leveraging Uncertainty Estimation Towards Trustworthy Deep Neural Networks: The Case of Reject Option and Post-training Processing,,2025,10.1145/3727633,ACM Computing Surveys,,,57,9,1--35,,,,,,,,
jones2020selectivedisparities,"ICLR 2021, no 2020; sin DOI. Demuestra que la seleccion AMPLIFICA disparidades IDENTIFICADOR ANADIDO tras verificar en OpenReview: ICLR 2021, no 2020. La clave conserva el ano del preprint (arXiv 2010.14134) por estabilidad; el campo year dice 2021, que es la version revisada por pares.",inproceedings,Selective Classification Can Magnify Disparities Across Groups,Erik Jones; Shiori Sagawa; Pang Wei Koh; Ananya Kumar; Percy Liang,2021,,,9th International Conference on Learning Representations (ICLR),,,,,,,,,https://openreview.net/forum?id=N0M_4BkQ05i,,,
li2021costeffective,"Journal of Cloud Computing 2022; trata de coste de computo, no de clases raras",article,Cost-effective land cover classification for remote sensing images,Dongwei Li; Shuliang Wang; Qiang He; Yun Yang,2022,10.1186/s13677-022-00335-0,Journal of Cloud Computing,,,11,1,62,,,,,,,,
pugnana2022aucselective,"AISTATS 2023, no 2022 IDENTIFICADOR ANADIDO tras verificar en PMLR v206: AISTATS 2023, paginas 2494-2514. La clave dice 2022 y el ano publicado es 2023; se conserva la clave por estabilidad de las citas y el ano correcto esta en el campo.",inproceedings,{AUC}-based Selective Classification,Andrea Pugnana; Salvatore Ruggieri,2023,,,Proceedings of the 26th International Conference on Artificial Intelligence and Statistics (AISTATS),Proceedings of Machine Learning Research,206,,2494--2514,PMLR,,,,https://proceedings.mlr.press/v206/pugnana23a.html,,,
tarasiou2023tsvit,CVPR 2023 con DOI de IEEE,inproceedings,{ViTs} for {SITS}: Vision Transformers for Satellite Image Time Series,Michail Tarasiou; Erik Chavez; Stefanos Zafeiriou,2023,10.1109/CVPR52729.2023.01004,,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,10418--10428,IEEE,,,,,,,
turkoglu2021hierarchies,RSE 264:112603. SI reporta F1 por clase promediado sobre cinco folds geograficos AUTORES RETIRADOS DE LA CORRECCION: cortaba la lista con 'others' y la matriz verificada trae la completa. Una correccion que empeora su fuente no es una correccion.,article,Crop mapping from image time series: Deep learning with multi-scale label hierarchies,,2021,10.1016/j.rse.2021.112603,Remote Sensing of Environment,,,264,,112603,,,,,,,,
liu2019deepgamblers,NeurIPS 2019; el primer autor va entre llaves porque las actas lo tratan como unidad IDENTIFICADOR ANADIDO tras verificar en las actas de NeurIPS 2019.,inproceedings,Deep Gamblers: Learning to Abstain with Portfolio Theory,{Liu Ziyin}; Zhikang Wang; Paul Pu Liang; Ruslan Salakhutdinov; Louis-Philippe Morency; Masahito Ueda,2019,,,Advances in Neural Information Processing Systems 32 (NeurIPS 2019),,,,10622--10632,Curran Associates,,,,https://proceedings.neurips.cc/paper/2019/hash/0c4b1eeb45c90b52bfb9d07943d855ab-Abstract.html,,,
abdali2023parallelcascaded,"El fasciculo es 16(1) de 2024, no 2023",article,A Parallel-Cascaded Ensemble of Machine Learning Models for Crop Type Classification in Google Earth Engine Using Multi-Temporal Sentinel-1/2 and Landsat-8/9 Remote Sensing Data,Esmaeil Abdali; Mohammad Javad Valadan Zoej; Alireza Taheri Dehkordi; Ebrahim Ghaderpour,2024,10.3390/rs16010127,Remote Sensing,,,16,1,127,,,,,,,,
schneider2021eurocrops,El DOI anterior resolvia a un dataset distinto (TinyEuroCrops). Actas de BiDS'21,inproceedings,{EuroCrops}: A Pan-European Dataset for Time Series Crop Type Classification,"Maja Schneider; Amelie Broszeit; Marco K\""orner",2021,10.2760/125905,,Proceedings of the 2021 Conference on Big Data from Space (BiDS'21),,,,125--128,Publications Office of the European Union,Luxembourg,,,,,,
ma2026harvesting,Ya no es preprint: IJAEOG 149:105258,article,Harvesting {AlphaEarth}: Benchmarking the geospatial foundation model for agricultural downstream tasks,Yuchi Ma; Yawen Shen; Anu Swatantran; David B. Lobell,2026,10.1016/j.jag.2026.105258,International Journal of Applied Earth Observation and Geoinformation,,,149,,105258,,,,,,,,
russwurm2020breizhcrops,Correcta; le faltaban volumen y paginas,article,{BreizhCrops}: A Time Series Dataset for Crop Type Mapping,"M. Ru{\ss}wurm; C. Pelletier; M. Zollner; S. Lef\`evre; M. K\""orner",2020,10.5194/isprs-archives-XLIII-B2-2020-1545-2020,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",,,XLIII-B2-2020,,1545--1551,,,,,,,,
hendrickx2024rejectsurvey,"BibTeX parte 'Dries Van der Plas' como 'der Plas, D.V.'; la particula va entre llaves",article,Machine learning with a reject option: a survey,"Kilian Hendrickx; Lorenzo Perini; {Van der Plas}, Dries; Wannes Meert; Jesse Davis",2024,10.1007/s10994-024-06534-x,Machine Learning,,,113,5,3073--3110,,,,,,,,
saintefaregarnot2022multimodal,ENTRADA NUEVA: aqui nace PASTIS-R con radar. No la produjo la busqueda por API,article,Multi-modal temporal attention models for crop mapping from satellite time series,"{Sainte Fare Garnot}, Vivien; Landrieu, Loic; Chehata, Nesrine",2022,10.1016/j.isprsjprs.2022.03.012,ISPRS Journal of Photogrammetry and Remote Sensing,,,187,,294--305,,,,,,,,
rey2025uncertaintyeo,"ENTRADA NUEVA, VERIFICADA EN EL PDF con pdftotext, no en un resumen. arXiv 2510.19586. Usa PASTIS y NUESTRAS TRES ARQUITECTURAS: TSViT (19 menciones), UNET3D (10) y U-TAE (7). Excluye pixeles por umbral de incertidumbre, literal: 'predictions for pixels with uncertainty exceeding a threshold are excluded... not making a prediction necessarily reduces recall, but it can increase precision if the rejected pixel would have been misclassified'. LIMITE, y es el hueco: hace el compromiso entero y lo dibuja como PRECISION-RECALL, no como riesgo-cobertura. 'abstention', 'abstain', 'selective classification', 'reject option' y 'risk-coverage': CERO apariciones. Las dos de 'coverage' son cobertura geografica. Llega a la abstencion desde otro vocabulario y no la conecta con esa literatura.",misc,Uncertainty evaluation of segmentation models for Earth observation,Melanie Rey; Andriy Mnih; Maxim Neumann; Matt Overlan; Drew Purves,2025,,arXiv,,,,,,,,2510.19586,arxiv,,,,
gonzalezcalabuig2026shrugfm,"ENTRADA NUEVA. Unico trabajo EO que dice 'abstain' con umbrales interpretables; cero tareas agricolas. FUENTE NORMATIVA: CVF, no arXiv, porque existe version revisada por pares: BibTeX oficial con los diez autores, Gonzalez-Calabuig primera, y paginas 7919-7928. La clave del proyecto se conserva por estabilidad de las citas; la de CVF queda registrada aparte. El arXiv 2511.10370 se conserva como eprint, no como venue. Dos correcciones a correcciones anteriores: la lista se cortaba en seis autores con 'others' —peor que la propia fuente— y un resultado de busqueda ponia a Cohrs primero, lo que contradicen tanto arXiv como CVF; un resumen de busqueda no es fuente primaria.",inproceedings,{SHRUG-FM}: Reliability-Aware Foundation Models for Earth Observation,Maria Gonzalez-Calabuig; Kai-Hendrik Cohrs; Vishal Nedungadi; Zuzanna Osika; Ruben Cartuyvels; Steffen Knoblauch; Joppe Massant; Shruti Nath; Patrick Ebel; Vasileios Sitokonstantinou,2026,,,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR) Workshops,,,,7919--7928,,,2511.10370,arxiv,,CVF (openaccess.thecvf.com),Gonzalez-Calabuig_2026_CVPR,https://openaccess.thecvf.com/content/CVPR2026W/EarthVision/html/Gonzalez-Calabuig_SHRUG-FM_Reliability-Aware_Foundation_Models_for_Earth_Observation_CVPRW_2026_paper.html
ghassemi2025howdetail,ENTRADA NUEVA. Trata el tamano del catalogo como variable de diseno medida: 26 de las 52 clases de LUCAS equilibran exactitud y detalle. Crossref verificado,article,How Accurately and in What Detail Can Land Use and Land Cover Be Mapped Using Copernicus Sentinel and LUCAS 2022 Data?,"Babak Ghassemi; Emma Izquierdo-Verdiguier; Rapha\""el d'Andrimont; Francesco Vuolo",2025,10.3390/rs17081379,Remote Sensing,,,17,8,1379,,,,,,,,
wang2026rareclass,"ENTRADA NUEVA. F1 de 36,72 por ciento sobre 101 variedades intentando salvar las clases raras: la evidencia de que el catalogo excede al modelo. Crossref verificado",article,Fine-grained crop classification from satellite image time series by boosting rare-class representations and enforcing global semantic consistency,Anqi Wang; Jiacheng Ge; Zhe Dong; Junchao Wu; Wei Guo,2026,10.3389/frsen.2026.1822070,Frontiers in Remote Sensing,,,7,,1822070,,,,,,,,
carvalho2023opensetcrop,ENTRADA NUEVA. Ancla del rechazo por novedad EN CULTIVOS. Crossref verificado,article,Outlier Exposure for Open Set Crop Recognition From Multitemporal Image Sequences,Thiago Carvalho; Jorge A. Chamorro Martinez; Hugo Oliveira; Jefersson A. dos Santos; Raul Queiroz Feitosa,2023,10.1109/LGRS.2023.3244532,IEEE Geoscience and Remote Sensing Letters,,,20,,1--5,,,,,,,,
gimenez2023rejection,ENTRADA NUEVA. Tres esquemas de rechazo motivados por especies minoritarias fuera del catalogo. Crossref verificado,article,Rejection methods for vegetation mapping using hyperspectral airborne data,R. Gimenez; A. Laloue; S. Fabre,2023,10.1080/01431161.2023.2240520,International Journal of Remote Sensing,,,44,16,4937--4962,,,,,,,,
xu2026opensetda,ENTRADA NUEVA. Rechazo de clases desconocidas como instrumento de transferencia entre regiones. Crossref verificado,article,An open-set domain adaptation approach for cross-region crop mapping,Yijia Xu; Zhou Zhang,2026,10.1080/01431161.2026.2649953,International Journal of Remote Sensing,,,47,10,4304--4326,,,,,,,,
barriere2024hierarchical,"ENTRADA NUEVA. La jerarquia de cultivos usada para mejorar exactitud, no como opcion de repliegue. Crossref verificado",article,"Boosting crop classification by hierarchically fusing satellite, rotational, and contextual data","Valentin Barriere; Martin Claverie; Maja Schneider; Guido Lemoine; Rapha\""el d'Andrimont",2024,10.1016/j.rse.2024.114110,Remote Sensing of Environment,,,305,,114110,,,,,,,,
