key,front,id_type,id,title_claimed,method,strength,limit,gap
wolpert1992stacking,F1-stacking-arbitraje,doi,10.1016/S0893-6080(05)80023-1,Stacked generalization,Meta-aprendizaje: un modelo de segundo nivel se entrena sobre las predicciones out-of-fold de los modelos base.,Formula el marco general del stacking y la necesidad de particiones libres de fuga para entrenar el meta-modelo.,"Trabajo teórico de 1992, sin dominio geoespacial ni desbalance de clases; no analiza qué hace el meta-modelo clase por clase.","No responde si el meta-modelo promedia o arbitra por clase, ni cómo distinguir ambas cosas empíricamente."
pelletier2019tempcnn,F1-stacking-arbitraje,doi,10.3390/rs11050523,Temporal Convolutional Neural Network for the Classification of Satellite Image Time Series,Red convolucional temporal sobre series Sentinel-2 a nivel de píxel y de parcela para clasificación de cultivos.,"Línea base temporal de referencia, reproducible y barata, comparada con Random Forest y redes recurrentes bajo el mismo protocolo.","Modelo único, sin ensamble; la métrica dominante es la exactitud global, no el F1-macro sensible a clases raras.",No estudia la combinación de arquitecturas heterogéneas ni el punto de operación del conjunto de clases.
russwurm2020selfattention,F1-stacking-arbitraje,doi,10.1016/j.isprsjprs.2020.06.006,Self-attention for raw optical Satellite Time Series Classification,"Transformador de autoatención sobre series ópticas crudas, comparado con redes recurrentes, convolucionales temporales y Random Forest.",Comparación controlada de familias de modelos sobre el mismo dato y evidencia de que la atención tolera la nubosidad.,Compara modelos individuales; el ensamble aparece como referencia y no hay análisis por clase.,Deja abierto cuánto gana un árbitro entrenado sobre esos modelos frente a un promedio homogéneo.
garnot2021pastis,F1-stacking-arbitraje,arxiv,2107.07933,Panoptic Segmentation of Satellite Image Time Series with Convolutional Temporal Attention Networks,U-TAE con atención temporal ligera y el banco PASTIS con particiones espacialmente disjuntas.,"Define el protocolo de evaluación del dominio: folds disjuntos, 18 clases y métricas densas y panópticas.",Evalúa arquitecturas individuales; no publica estudio de ensambles ni de cardinalidad de clases.,"El banco existe, pero nadie lo usa para medir arbitraje heterogéneo por clase con pruebas pareadas."
tarasiou2023tsvit,F1-stacking-arbitraje,arxiv,2301.04944,ViTs for SITS: Vision Transformers for Satellite Image Time Series,Transformador que factoriza la atención en un eje temporal y otro espacial para series de imágenes satelitales.,Estado del arte en PASTIS; muestra que el eje temporal domina al espacial en cultivos.,Modelo único; no combina troncales ni analiza el desempeño en las clases minoritarias.,No mide cuánto queda por ganar combinando modelos decorrelacionados sobre sus propias posteriores.
mena2024multiview,F1-stacking-arbitraje,arxiv,2403.16582,In the Search for Optimal Multi-view Learning Models for Crop Classification with Global Remote Sensing Data,"Comparación sistemática de estrategias de fusión multivista (entrada, característica y decisión) para clasificación de cultivos.","Barrido honesto de fusiones sobre datos globales que incluye la fusión a nivel de decisión, pariente cercano del voto.","Fusiona vistas del dato, no modelos heterogéneos entrenados por separado; sin meta-modelo entrenado ni delta por clase.",La fusión por decisión se evalúa en promedio; no se contrasta contra un árbitro entrenado ni se reporta el efecto por clase.
abdali2023parallelcascaded,F1-stacking-arbitraje,doi,10.3390/rs16010127,A Parallel-Cascaded Ensemble of Machine Learning Models for Crop Type Classification in Google Earth Engine Using Multi-Temporal Sentinel-1/2 and Landsat-8/9 Remote Sensing Data,Ensamble en paralelo y en cascada de modelos clásicos de aprendizaje automático para tipo de cultivo sobre Google Earth Engine.,"Ensamble heterogéneo real sobre datos operativos, con implementación reproducible en la nube.","Miembros tabulares clásicos, sin arquitecturas densas de series temporales; sin análisis por clase ni pruebas pareadas.","Combina modelos, pero no pregunta si la ganancia viene del promedio o del arbitraje por clase."
zhang2022ensemblereview,F1-stacking-arbitraje,doi,10.3390/app12178654,A Review of Ensemble Learning Algorithms Used in Remote Sensing Applications,"Revisión de bagging, boosting, stacking y voto aplicados a teledetección.",Cataloga el uso real de cada familia de ensamble en el dominio y sus resultados típicos.,Revisión descriptiva; no unifica protocolos ni contrasta homogéneo contra heterogéneo bajo los mismos folds.,Confirma que el stacking se usa y que casi nadie publica el contraste controlado que aquí se propone.
chow1970reject,F2-cardinalidad-selectiva,doi,10.1109/TIT.1970.1054406,On optimum recognition error and reject tradeoff,Regla óptima de rechazo por umbral sobre la probabilidad a posteriori.,Fija el marco clásico error-rechazo que sigue siendo la referencia de la clasificación selectiva.,Supone probabilidades verdaderas conocidas y decide muestra a muestra; no contempla retirar clases enteras.,No existe el análogo por clase: qué pasa si en lugar de rechazar muestras se recorta el conjunto de etiquetas.
geifman2017selective,F2-cardinalidad-selectiva,arxiv,1705.08500,Selective Classification for Deep Neural Networks,Selector sobre una red ya entrenada con garantía de riesgo para una cobertura objetivo.,Formaliza la curva riesgo-cobertura y da garantías estadísticas para la cobertura elegida.,Rechazo por muestra en visión genérica; sin dominio geoespacial ni clases desbalanceadas por naturaleza.,"La cobertura se recorta por confianza, nunca por decisión sobre qué clases se prometen en producción."
geifman2019selectivenet,F2-cardinalidad-selectiva,arxiv,1901.09192,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,Arquitectura con cabeza de selección entrenada de forma conjunta para una cobertura objetivo.,Optimiza predicción y rechazo a la vez y mejora la frontera riesgo-cobertura frente al umbral posterior.,Exige reentrenar; en teledetección agrícola obligaría a reentrenar cada miembro del ensamble.,No compara recortar cobertura por muestra contra recortar el espacio de etiquetas a igual cobertura.
liu2019deepgamblers,F2-cardinalidad-selectiva,arxiv,1907.00208,Deep Gamblers: Learning to Abstain with Portfolio Theory,Clase de abstención adicional entrenada con una pérdida derivada de la teoría de carteras.,Abstención sin hiperparámetro explícito de cobertura y con interpretación económica del riesgo.,"Abstención por muestra; la clase extra compite con las clases raras, justo las críticas en cultivos.",No dice nada sobre cuántas clases prometer cuando el soporte por clase es muy desigual.
pugnana2022aucselective,F2-cardinalidad-selectiva,arxiv,2210.10703,AUC-based Selective Classification,Criterio de selección que optimiza el área bajo la curva en lugar de la exactitud bajo cobertura.,"Muestra que la métrica objetivo cambia la frontera de selección, algo decisivo cuando importa la clase rara.",Escenario binario y tabular; no aborda F1-macro multiclase ni el desbalance extremo del mapeo de cultivos.,"Falta el equivalente multiclase con F1-macro, que es la métrica que gobierna este dominio."
fischer2023rejectcurves,F2-cardinalidad-selectiva,arxiv,2308.08381,Precision and Recall Reject Curves for Classification,"Curvas de precisión y exhaustividad frente a la tasa de rechazo, en lugar de solo exactitud.",Expone que la exactitud bajo rechazo oculta el comportamiento en las clases minoritarias.,Datos tabulares de referencia; sin aplicación a teledetección ni a conjuntos de etiquetas jerárquicos.,La curva se traza sobre rechazo por muestra; no existe la versión por clase retirada.
